rpc,file,line,transport,classification
"search_grc_global","src/lib/commandCenterApi.ts","180","direct_browser_rpc","unknown_requires_review"
"create_board_pack_snapshot","src/lib/enterpriseApi.ts","174","authenticated_edge_bridge","unknown_requires_review"
"acknowledge_escalation_event","src/lib/grcApi.ts","485","authenticated_edge_bridge","workflow_runtime_review"
"resolve_escalation_event","src/lib/grcApi.ts","493","authenticated_edge_bridge","workflow_runtime_review"
"assign_user_role","src/lib/grcApi.ts","1075","authenticated_edge_bridge","privileged_admin_review"
"deactivate_user_role","src/lib/grcApi.ts","1090","authenticated_edge_bridge","privileged_admin_review"
"create_department","src/lib/grcApi.ts","1104","authenticated_edge_bridge","unknown_requires_review"
"create_user","src/lib/grcApi.ts","1129","authenticated_edge_bridge","unknown_requires_review"
"update_ovr_workflow","src/lib/grcApi.ts","1297","authenticated_edge_bridge","workflow_runtime_review"
"create_ovr_corrective_action_project","src/lib/grcApi.ts","1324","authenticated_edge_bridge","workflow_runtime_review"
"v99_create_scenario","src/lib/scenarioLab.ts","50","authenticated_edge_bridge","unknown_requires_review"
"v99_cleanup_scenarios","src/lib/scenarioLab.ts","60","authenticated_edge_bridge","unknown_requires_review"
"v99_scenario_status","src/lib/scenarioLab.ts","74","authenticated_edge_bridge","unknown_requires_review"
